ScenarioName;Обрыв связи. Дополнительный контент
ScenarioDescription;В сценарии происходят события периода первого прорыва военных в Зону, которая только недавно образовалась. Собрано несколько групп военных, среди которых есть и группа капитана Таченко.  Армия тогда еще не была знакома с мутантами и аномалиями, о которых уже начали появляться слухи. Но кому нужны эти слухи? Солдату нужен приказ! Приказ отдан... Бегом марш в неизвестность!
ScenarioVictoryDescription;Условия победы: Выполнить все приказы от Штаба операции.
ScenarioLoseDescription;Условия поражения: потерять все подконтрольные территории или не выполнить условия победы примерно за 50 ходов.
[Groups.Soldiers.:main].Text-End-EventFlag-Lose;Отряд не выполнил задачу. Вам отдан приказ возвращаться на базу для разбирательств и трибунала. Поражение!
[Groups.MutantsE.:main].Name;Мутанты;
[Groups.MutantsFW.:main].Name;Мутанты;
[Groups.MutantsA.:main].Name;Мутанты;
[Groups.MutantsU.:main].Name;Мутанты;
[Groups.MutantsE.:main].Description;Мутанты;
[Groups.MutantsFW.:main].Description;Мутанты;
[Groups.MutantsA.:main].Description;Мутанты;
[Groups.MutantsU.:main].Description;Мутанты;
[Groups.Soldiers.:main].Name;Отряд Таченко;
[Groups.Soldiers.:AntiZone].Name;Долг;
[Groups.SoldiersAI.:main].Name;Военные;
[Groups.Soldiers.:main].Description;Отряд Таченко - небольшой наспех собранный отряд для броска в глубь Зоны;
[Advisors.Advisor-Soldiers-1].Name;Неизвестно;
[Leaders.leader-sac-tachenko1].Name;Капитан Таченко;
[Leaders.leader-sac-tachenko2].Name;Капитан Таченко;
[Leaders.leader-sac-tachenko3].Name;Капитан Таченко;
[Leaders.leader-sac-tachenko4].Name;Капитан Таченко;
[Traders.Trader10].Name;Командир неизвестного отряда;
[Traders.Trader10].NeedText;Для торговли требуется контролировать территорию Западный сектор локации Приборный завод;
[Tutorial.Page-1].Text;Здравия желаю, капитан Таченко! Рад вашему прибытию в расположение 3-го отряда специального назначения "Скопа". Эта маленькая деревня является нашей стартовой точкой. Сейчас творится какой-то бардак в командных рядах. Противоречивые приказы поступают. Плюс слух ходит, что по дороге пойдет какая-то колонна к ЧАЭС. Надеюсь, что вы внесёте ясность в ситуацию, а то бойцы волнуются. Особенно после того, что увидели за домами рядом с деревней. Вы такого еще не видели! Это как в кино! Воздух кружится и искажается вокруг конкретного места, а когда один из нас кинул в это щебень, то раздался сильных хлопок, почти как от гранаты! Пойдёмте, я вам покажу. Если пойдёт колонна, то главное на такое не нарваться, а то после ЧП на ЧАЭС слухи ходят всякие. Да и мы в бинокли видели животных всяких обезображенных... Пробирает до дрожи от такого зрелища. Командование говорило, что у вас будет рация, через которую мы и получим дальнейшие приказы. Вы прибыли, а это значит, что и приказ скоро придёт. Нужно только дождаться.
[Tutorial.Page-2].Text;По моим скромным соображениям, капитан, нам поставят задачу пойти вперёд колонны и занять ключевую точку на маршруте и дожидаться её там. Или какая-нибудь разведка местности по маршруту. Кстати, думаю, раз вместе с вами нет бумажек по приказам из-за этого бардака, то связаться со штабом через вон ту кнопку вверху справа в виде песочных часов - хорошая идея.
[StoryEvents.Event-Escape-1].Name;Начало операции. Первая миссия
[StoryEvents.Event-Escape-1].Desc-NonOwner;Поступил приказ из штаба. Суть которого в захвате ключевой точки южнее железной дороги. Речь об АТП. Установить контроль необходимо в ближайщие сроки, чтобы обеспечить безопасный путь колонны и разведать обстановку;
[StoryEvents.Event-Escape-Check-1].Name;Ключевая точка захвачена!
[StoryEvents.Event-Escape-Check-1].Desc-Owner;Территория %0:s на локации %1:s теперь под нашим контролём! Доложив в штаб, отряд Таченко получил три задания. Первое - удержать АТП до прихода колонны, чтобы она прошла путь с наименьшим риском. Второе - взять под контроль Северный блокпост в ближайшее время для стабилизации обстановки. Третье (необязательное) - обеспечить безопасный путь для колонны взяв все территории на ее пути под контроль.
[StoryEvents.Event-Escape-Check-2].Name;Ключевая точка захвачена!
[StoryEvents.Event-Escape-Check-2].Desc-Owner;Территория %0:s на локации %1:s теперь под нашим контролём! Дальнейший путь на сервер заблокирован скоплениями аномалий.||Из штаба поступил новый приказ. Взять с собой пару бойцов и отправиться на встречу с отрядом дальней разведки у юго-восточной окраины Приборного завода.|| || Благодаря полученному опыту Таченко преобрёл новые навыки и характеристики как лидер.
[StoryEvents.Event-Escape-FailMission-1].Name;Миссия провалена!
[StoryEvents.Event-Escape-FailMission-1].Desc-NonOwner;Вы не смогли выполнить приказ во время!
[StoryEvents.Event-Escape-FailMission-2].Name;Миссия провалена!
[StoryEvents.Event-Escape-FailMission-2].Desc-NonOwner;Вы не смогли выполнить приказ во время!
[StoryEvents.Event-Escape-FailMission-3].Name;Миссия провалена!
[StoryEvents.Event-Escape-FailMission-3].Desc-NonOwner;Вы не смогли выполнить приказ во время!
[StoryEvents.Event-FW-Invasion-1].Name;Бой на окраине локации!
[StoryEvents.Event-FW-Invasion-1].Desc-NonOwner;При приближении к указанной точки встречи капитан увидел отряд разведки, который наблюдал за мутантами на территории %0:s локации %1:s. Объединив отряды под командованием Таченко, группа попытались взять территорию под контроль.
[StoryEvents.Event-FW-Check-1].Name;Ключевая точка захвачена!
[StoryEvents.Event-FW-Check-1].Desc-Owner;Территория %0:s на локации %1:s теперь под нашим контролём!||После доклада руководству по рации был получен приказ на взятие административного здания завода с последующим вскрытией сейфа где-то в подвале. Код для вскрытия вам сообщили (необходимо просто взять территорию под контроль, чтобы засчиталось задание). Папку с найдеными документами не вскрывать. После успешного выполнения, необходимо доложить в штаб.
[StoryEvents.Event-FW-Check-2].Name;Ключевая точка захвачена!
[StoryEvents.Event-FW-Check-2].Desc-Owner;Территория %0:s на локации %1:s теперь под нашим контролём!||Вы смогли найти сейф. После извлечения нужных документов из-под груды других вы доложили об успехе штабу.||Был выдан новый приказ: "Необходимо передать эту папку отряду гражданских, которых будут сопровождать вооруженые лица без опознавательных знаков. Огонь не открывать, не провоцировать, в разговоры не вступать. После исполнения - доложить". Закончив переговоры со штабом, вы стали размышлять. Такой приказ вам показался необычным. Что-то в нем было не так. Какие-то люди с оружием в ЧЗО во время операции Военных гуляют с оружием? Не стрелять? В разговоры не вступать? Это еще что такое?!||Эти мысли не давали вам покоя, но приказ дан и его надо исполнить.
[StoryEvents.Event-FW-Check-3].Name;Ключевая точка захвачена!
